						algo_2														algo_3														algo_4
Name      	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     
n_6_e_1   	-      	-      	-      	-      	-      	-      	~~     79.97  	0.02   	10     	6      	0.0    	17     	~~     79.97  	0.173  	10     	6      	0.0    	16     	~~     
n_10_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
